Encrypted ID,Activity Type,Predicted Activity Type,Integrity_MAC
gAAAAABpJVLcy96LMGcb1zM4IrjB9RTYFoRXS2SQRWnbp1Y4SD_Y2Yf9MNifuETe5vLUIMS-N2rUZLPuMKKtcxWvbpkmXlPdoA==,Run,Walk,9f84dd50adf92a4ef7daac2dda7427ba378573e872bd380d6ddc630185c59522
gAAAAABpJVLcmvAHk5hoJrX9nXOQGcWpzW95TKiVatYTeaAkC2XRjJHV7CSJOTIQYSfRfw2aElGFMakpk2JwcOObNwqMt8bPxA==,Walk,Walk,76b32858836be1a8e0d1e0ed96d60036d9e238dcd76f464bd5dbade3b69f06a5
gAAAAABpJVLcqBWq9b9pRi0SzkzcXzn1lTVK8w2bcBf5RSZ4ZQBd2Ihgs7TqTduaEV-0vij8aAz7J2JagCUzZAeV6X86NMAxIw==,Walk,Walk,da0a6590150d512ea4d348329e92bc4d43614556ff448bb577a28f55494e4460
gAAAAABpJVLcRqh9XWcI8EJFU4Un2aF7mqDqD8e31wZImqcXOiI57ICD-AzeSCnXl0hjygmuXHEq8CLX4zFydhMcIUAabpm31Q==,Walk,Walk,b2beb959c7114a784bf6e6a2338d3e19a29ae07f5c93c40c0ce6bf714f5879d3
gAAAAABpJVLchrRQG5R4TlvCENvnEPIoPOWTIjr2D9_XYIQYXD3i8riJrD9VqTy5We8tmTd28-iN2fdNeM1swhiphvUsh0027A==,Walk,Run,648c0eb52f2844433b0c53477f1179060bdc6a865d941c1ccb6905d71589c9e2
gAAAAABpJVLcbj8cJ2k93g_QPbrZ8iIwLFIkOZH9-2waWI9LDMjDBAroQy7_BkG7Dtfv7BjPOKqkELFMF3gv-ujPMcV6GKFgAw==,Walk,Ride,bc794b8c93ef5f597c1e1268e7115c65478362d754a69696c7ffc1cfdc88cf96
gAAAAABpJVLcd63-jGImAprLx_XH614gKRYVTmnTl218ySPMIH1kEmns6IRzqI6ppxmPKgl0viCXrpS-GoxrVPQ7lx6ULZDC5Q==,Walk,Run,86c078c51f9c227d40190c7a464c0eca5a586eaa730b5e458988cd5e788c3078
gAAAAABpJVLcAksp59HpR9KOGKdAFQuIf7VmuPxezNTlYUrKQTYfx9rS3TkauR0q3aqEJrB6BM0EtswVl1eNjvGBfYIKNuNT6A==,Walk,Walk,b71de1a1d70420bf6ee6a33e232361ef7b0c61eb225315f3505ceba404ded421
gAAAAABpJVLcHz6g8TZUhE4slLUuT4pAexGEi8a_IMaGZWr9yynByRZpPj9g-BM3pYorza2MMA8HLnOTceXMw8Ej5--DWA_f3w==,Walk,Run,130a428ade9de2eec0aeea8e9b91bed7b1ca4246508cbd8fa53091e2b44504da
gAAAAABpJVLcspOaGYFUooYn7o0AUmDLWTqpFCMS6SDJNMpq95faXLzMi9cMxiU18e-q0W0ng8k-O4aAzS30DBKSvOIvs0WYaQ==,Walk,Walk,f6dbeadd115e216d36eaebb5d95bd69fff59aae1d5eea3c7472a2a9dc8ae34ac
gAAAAABpJVLcN-ju5HucvfarWLBJ-WwKo3nHisro359A2fHIv1p-DokN1ryBxJWRMkkIv-l2ajHcNV9e2F4Mtb5NALfrJiaagg==,Ride,Ride,2eb99db3ee12a5035fd68fbfeba0dab31739b90e0540020e80a1989d29ab9118
gAAAAABpJVLcQbOy8GK0pvlOutcL7QM-HBzYI696CRaw7ySuJj6TUGs0CCunqDIKTCAQ3jdCdBldzJgZFcOcLFlI0C2l4HXqSw==,Ride,Ride,3bac5e0d64a04fc4c2d6e39594c20e46c95d71d97af13e446e6b2efd06b5daea
gAAAAABpJVLcxsmyNfq7go_mB4AygowIGWLTgUlVjWQLnMU9TcAJ7dS6fThtjR54tOh5801YJTPDzl82urjqOWwhNND9bdQxYw==,Walk,Ride,dd9673b2ffa6bce136fce92c258fdedfa22998373d610fca362bfdf597bcc08e
gAAAAABpJVLc8zZ_0LYjS_mIImGj4grq7B2u6pd7ZdTP1TENiyKdYMD_3bhVSXSfDPOBC3ctRKt3HybajeM5u0vdTtiaoAkHIw==,Ride,Run,777da7009f8f760fcd85e397e97721a2c7cb956729bb06e441e17df50d7c3d65
gAAAAABpJVLcndbPpmNnNHW6d19dv53QzX5BvEqh6zhT4Wqg7raIFob_UCZhS7nYOCzbfsm_NQiLvy_-5ceSVpvVyZd62b79DA==,Walk,Walk,ebe9ba2b174dc8a01f5bee927a8a3fc358e8a937195a1de2bc5bcd2f1d977d80
gAAAAABpJVLcvQ8XoImqg9UqTh_jC7vox2ji4SG03_nJ_v3BeE-804Hw4T-mUUM78QC9w3xM9UADPD-tIBxi79PB4F_WH1mKwg==,Walk,Walk,49af78a53c518fe6a5b4acc8a28f7f82fa454d888b8ff1ff903f3135bcdf7e70
gAAAAABpJVLcvZKKv6LVDRux_px4zZinbAB0KkzatiAVTyiwEyANZsMZUpBVx6gkfM4GHPLtdUqzCWH2xFi6JYrffOcFGg9Lww==,Ride,Ride,55b7b8accc935391184ae7d94101b6facc74f84523a5624b883d879c6c882031
gAAAAABpJVLcRHamkJ8tIRo00Rt7rr7nPwuvZ2GAGyqFleHc9-jEZLFA4QYEa17oGxf93Az-Bj1tLMMbhVSC23Efiady-eiQsA==,Walk,Workout,fc58e4cb042bc2da704226d5ed02409e924fdf76931b8fa65f4ced62c90d5cb8
gAAAAABpJVLcadM75I96jjQ2Txptelh23eWobtUuw9RrNnydVt4J_DwX6G5id41IrlsTqzRIhuu7uCFZoJ6gzv8vCQ-9E3dyUQ==,Ride,Ride,6c7d030372795dfa2a68c4a13aca3da72d2e031a6aa06736508a2183b1622900
gAAAAABpJVLcczXYufOdJWo_pRs-UgRbESejbOtV9KV6k-XaWYnQG8Igp8cglYr4zu3bB0OnsPsFWgYMjNgBkWJYU8riC-OQoA==,Walk,Walk,cd378aea4a78b796444abb3b30792a935831c170708bc7ac9b892a9dad76c445
gAAAAABpJVLcBoL5P7wM7glgwWLqsPQwN-P9q6jsxz-MskOBobKLGbktiBlSSuigIbTKI-3z4d-bw65QCS9a85-I_M8OSf0TGQ==,Walk,Walk,3605a14d009dcb6d17033e147e95f5751af69a3a021d35f26e74c40c143fe7c2
gAAAAABpJVLcrE-IrDoYpEu15YLlk7IUCDCnsY0iROKUB7X5QgAk9ppNipGMxyHTfw_PLNnWthJ36qOO7ROGHF7R8v_67YnzUA==,Walk,Walk,c0263e17aaddefb19904c4830994414a0002eaedc8ffe58d8946d865eb95e8f3
gAAAAABpJVLc02sHc2CH9lBBMiNPTJWXjoiZfvaUEIR-WdZpp2XpdMw2GMuyLSJ6tWVItK8P9VVuVB0bzPNyHc3qFJuYIBsh7w==,Walk,Walk,87e71667cb0efd7a5bebf2aa141c4c96a0d39c4ebde7c8bc6447360b0cda0ff0
gAAAAABpJVLcxa2z2nvtbiVDZx2fa8z1cpWmJZgXpo4aR9RVEazd7R0Ec1rrJL22p7k9hkWfskKepDmtBy_SL7R4oT-9z5CU3A==,Walk,Walk,9738f9f49c5c1057d2cdb6caaa6831d466c07430bc675d669b5db7bfd51c0fa3
gAAAAABpJVLcjmkJ9vsC96FfiKzCsEqSWYZ1pnAB5Bp8WHSlqUNH_EsBX0fNEcpQNWE30-5N3PslB6Qy1sPsAOFdkiO5Yo6zmw==,Walk,Ride,5bb12425b30460ca7695200f7abe233ab722c5e3cf1b1ed88db7011c4352f8ea
gAAAAABpJVLcCoqwXCdlYJBg0xFHUghfRcBbVk328XjDnVs2xLH0KqZYZyuOrUWB3VZJugsRjd8sqpxG3xMCV5-Ob3aR65g4tw==,Walk,Walk,f66b6fb77ff393f55f63ddd0df16ceb69b530b44ef97e9964925ac656ef80561
gAAAAABpJVLcDYZHmGgsmMR-l6QNuXQFfFlFj6YRE9PxK7jm4nLDXSS8_wXH-nFtDWiMa09F0NHDiO0PNA3TaR8MEs42lmOoFQ==,Walk,Walk,8bf25df1e718f6fbd55668b9bc8462a7eb7e5381fd06b460cf834ea20d0a38b1
gAAAAABpJVLcdMuks2ctVFc8qKU8X3OfH3GcVIcFSLvJsNRap_NuPArLAec4C1XQPmyOuYeIR-E22H-J_rzaRJcxkxRzeH099g==,Walk,Walk,c90a6638d4b380c989b26fa26cdec2d5d5592c2afbf3057cc39373a6f3e28947
gAAAAABpJVLcU-JLcaLZBRMHIWxEp3bgM9V639kzmIkN4FSc4NcJbY8uRagI3r5Xfz6bzI_tzSvynjneyINI741pcjv0nKKksg==,Walk,Run,4099d580fa4801fba05c29ea05be3fb224eb5132abe1fb1d9aa5bf6ce65b814e
