Encrypted ID,Activity Type,Predicted Activity Type,Integrity_MAC
b'gAAAAABpHijlViX-_RqZENTJ5yA37na955msPDFtcvvgrvUjY7TTpqtl204yAsRYps61q3vXRb1zjfXI5TTOrowp8hHWUzouMw==',Walk,Walk,ff50a0a1e9387ec77151cae35b1cb105a70f81d77a3b2ce4e2e8b042be4804c6
b'gAAAAABpHijl67TVnPz5m93LKg9UF6bbVjJ1ORv8TrPMaEclVAF0rChh-oxSB33lBP80UPyV7DGFumcK__7jXrg1IytnOUh5Fg==',Workout,Workout,f011a545acade22be7eb5bce45e351bb4a13d16e7e693eae1a07287c8b31f5ec
b'gAAAAABpHijlFloy4ABHAfPjMdyii20P5mSSpreKhdZ3VKmkYQaP22l6h8pE9FHqUzdIwLOMMlpmL0m8T53Clsp-9MUOqKZ8nA==',Walk,Workout,a1a0938295f8b7aa0e4dd98278f09cac0dd3fbb4ee8ba8b887eaeaac69bf703e
b'gAAAAABpHijllmZlkDgiIj9yM9m_8ZMh0k-Y2S2kkpu2p-foKIxCQPxfPYu8ZW58gkxyn9IJEXZyZ2rEGl7mYTbx3KNKudJO2A==',Ride,Run,aabdf89f8d1849da61f84b30caac22e0e5e59f0f7ee075e17ef86e599197b591
b'gAAAAABpHijl5sAfr7ENKtj19nZvtMnX6aDYTDecfsgGgGYx0A_Ys5dwbeXHR6RvyNsdWv3L1NDtDk572fFP1muf-baVKs3rYQ==',Workout,Workout,127115e3146ecd1bca056c26a3b4f7dc7d1faefddc3d52b2b041ffaf6b223e15
b'gAAAAABpHijlYHfTCI3OYhs7BcjXa7rOafpdslSA53Of8JPiHUE5IUS4JWHCjXbVqxBl_1qsh9LGPoskPLYpNjm9x4AjibcT7g==',Workout,Workout,311666d496ee700b0dbaa9fa037d1ba93f8ab9bc054932d7d686809f96d34d31
b'gAAAAABpHijlXi7ddxQmRaCuqCns-q7d__BUd_fZTb_2934cTDk_Y3OuwcVLilCPqp38J-2esK8HwJHus_c01JlrgSFy_RLBNA==',Run,Workout,760e555cdfab2b6e0f39557f4b95dbb83c882fdd8086636b4c55a61ab152eb80
b'gAAAAABpHijlPwSx27zQFlhsTxUWx6CDheu_c8SSvkqD53Si-b0oy1JVtyoKHqDsuIvDW56aJnIJEWjjmaDiV-vxzwMq2KWQlQ==',Walk,Walk,31e14e8451e8e19f67c69e9cd24a106122d20f935e865d4fbefa9927f76389c8
b'gAAAAABpHijlhKMGfRTvipkjesV7WfZj8SvrNP2rjghgMPpM44DIQxdRDp2NO-yJe3DEU_0HgBNuC4lYmGyJcM6PwZA9l5dk4Q==',Run,Workout,b5fdd15ea355ecfded74ff0327a7b67b9563a1eb4acafb4300037e232b004ef7
b'gAAAAABpHijlyFe6_HXGQLPuGpIP3wF3flDCTn6562IZIAS4KjXNJg8xczwlGldAziRFvtUdWgrige_rrGxMbhPmjBdAAHTFVg==',Run,Walk,8ce0bd8afc5f4b982e54fe1ecd172d4bc78834eb5818e1aefcfbba65da3800ef
b'gAAAAABpHijlO4ulXpQdpNhwSyuJaQMfn774zH8M4sJEVpaWKmd4ry0_dNqPWeiw9BCWOuAiTS8JmIpbgU1vJQy_kZjMq9gy_A==',Run,Workout,8b6a3d6b79ebeb9bf2d130124ebaf15bacdb0ca01a75036f02d33230da0a594c
