Encrypted ID,Activity Type,Predicted Activity Type,Integrity_MAC
gAAAAABpJIL14PymBnxgPBY5uUTqMf52iwESg7j3TI_PvlpC1IW2VUpfcYKlflel2vqiBS91bwOYiHUyF_GJFiJhYq37S_vNGQ==,Walk,Walk,6c2807cc206b2cde74d8942ab7a80b434f2402e412e388fc27cbc585795e4229
gAAAAABpJIL1Gd44vbcmw1ODLHSQoEzF71cB4DSzarBGsiCmDcZbN3AnJpc-GGUfe7FsareVgleMSZ27UlsnDEjnq2pn6gBEAw==,Walk,Walk,a5f757799dedc2893446e8d2a570108fb082ceff16f91b1d4f567fc0a5cdb907
gAAAAABpJIL15uLscrlwpezIc5DHkEJ2gyyXhTisWkVKLZZhSJpesanYwH-Is40FjJ590InU0FTtsuewTdcMsAtf8tbT0y487g==,Run,Walk,7d8fc62a5360da0c97283d81bf26521b00ef35c07f5cef726010d6decc1da0cb
gAAAAABpJIL1_I6siTkhIEXvEYOfBKRq2IywVU_nEiu6YcFbsu1TxRl36YXenH_zXOeOE9-jK63Uh_Dekk7TSxq4-x_RvqcN-w==,Walk,Walk,5b78e29a6b02b3cfc95ee8e4dc36ae7e1492d25c2ff175f1693ebcc4ff122e96
gAAAAABpJIL1oId9yT0TGLQbMXYtUkRMJIo53rEA3h7oB1MBWPg-Or1yKAt0SfexpWvt-SOm1BHSBiOIUocEhpKCDKttNTMdsg==,Walk,Walk,5a75a364c7d63aeaf3e3683ba0986ffc9c13a452e241f459b549c2b3f71378ac
gAAAAABpJIL1Li_MRLDJOE3AvY0cK8LvkR5lFcma_TaP3v5gVymLa_26RoL5IEWmu93lDx2fUmkygIlDNzwYnl3G3kYA10rhFA==,Walk,Walk,0632630c82a3b26ec21882192a08a4c9008bf0763adcb5460fa43817748f401e
gAAAAABpJIL1AFeQZEz4Jl1tNo5cU3r3ZZhfpXwk5Fq_ELhpjmvbP4Xyuj2a9ZWQNas5J95O-2vxj22rpzdKNurE043Ao99EHQ==,Walk,Run,e5c1dba9b961e44fcce112a07ad7038086ae15c058639b8b0816d8b7ace6a073
gAAAAABpJIL1SNaGQ86eJV5jN1auQAhN8A8GdAUhyC0UTCyqQUdcMqSUA1AtV1Fwi-YMwZNwkaVMh8QDCJDouo6raMHEtKPmpA==,Walk,Run,3b33dd10b6ca5a8c475af6d460d35e617fae033e262c581a8f4d36e31550813c
gAAAAABpJIL1e9yxo2KMtS_y1wJe_iLqF4h6tU3jn2eHYbHFi__wYFZC1zvZpsOv4WMZXcddRcsR-TA9O9U3xKiHqOAktkGYAQ==,Walk,Run,8286543fdd5f216a46bfa60e89149f4d04dabac6af25b81f27775eb8d42e84cc
gAAAAABpJIL1OBfK4KF_6aheiHLKlXKc2Sfgw554genJd4Nli5z84sBYbVehCMipKTIK1Wd0znHR1UcPnj4l1e_daRGV_uqucA==,Walk,Walk,04e53efc38445510e6da9abf125d91339d3e4c2e96bfa0705d97111af66278d5
gAAAAABpJIL1B8FVCHv3gEoAn0icFGFuqOdNiX_LH-C-Y7wABAem62K6OElh_17-ce-k8hQ8ZtgZOrXf5DWSH8W22f0RAxd8FA==,Walk,Run,2d4b0c76f5d8387823c7df391d562f232c80fa3be2de5f94fff53faa610eb81b
